2012,CWE-89,3
2013,CWE-20,10
2013,CWE-22,1
2013,CWE-264,10
2013,CWE-79,5
2013,NVD-CWE-noinfo,5
2014,CWE-119,3
2014,CWE-17,4
2014,CWE-200,4
2014,CWE-22,32
2014,CWE-254,4
2014,CWE-264,8
2014,CWE-310,3
2014,CWE-79,18
2014,CWE-89,4
2014,NVD-CWE-Other,1
2015,CWE-119,11
2015,CWE-17,1
2015,CWE-19,5
2015,CWE-20,15
2015,CWE-200,4
2015,CWE-22,6
2015,CWE-254,2
2015,CWE-264,1
2015,CWE-310,2
2015,CWE-399,11
2015,CWE-400,2
2015,CWE-78,2
2015,CWE-79,20
2015,CWE-90,1
2015,CWE-94,2
2015,NVD-CWE-Other,12
2015,NVD-CWE-noinfo,3
2016,CWE-119,15
2016,CWE-134,1
2016,CWE-190,2
2016,CWE-20,15
2016,CWE-200,15
2016,CWE-22,9
2016,CWE-254,17
2016,CWE-264,8
2016,CWE-284,27
2016,CWE-287,1
2016,CWE-310,5
2016,CWE-362,1
2016,CWE-399,19
2016,CWE-476,6
2016,CWE-489,1
2016,CWE-502,2
2016,CWE-59,2
2016,CWE-693,1
2016,CWE-77,17
2016,CWE-787,5
2016,CWE-79,45
2016,CWE-798,6
2016,NVD-CWE-Other,4
2017,CWE-1188,1
2017,CWE-119,21
2017,CWE-125,21
2017,CWE-134,10
2017,CWE-19,3
2017,CWE-190,10
2017,CWE-20,42
2017,CWE-200,32
2017,CWE-22,23
2017,CWE-254,1
2017,CWE-264,3
2017,CWE-269,4
2017,CWE-276,2
2017,CWE-284,4
2017,CWE-287,5
2017,CWE-290,3
2017,CWE-346,2
2017,CWE-352,1
2017,CWE-362,2
2017,CWE-399,22
2017,CWE-415,1
2017,CWE-416,5
2017,CWE-476,2
2017,CWE-502,3
2017,CWE-59,2
2017,CWE-601,31
2017,CWE-611,2
2017,CWE-613,1
2017,CWE-668,2
2017,CWE-674,1
2017,CWE-732,1
2017,CWE-74,1
2017,CWE-762,1
2017,CWE-77,8
2017,CWE-772,1
2017,CWE-78,3
2017,CWE-787,16
2017,CWE-79,60
2017,CWE-835,2
2017,CWE-862,2
2017,CWE-863,9
2017,CWE-89,1
2017,CWE-93,1
2017,CWE-94,9
2017,NVD-CWE-Other,3
2017,NVD-CWE-noinfo,12
2018,CWE-113,5
2018,CWE-1188,27
2018,CWE-119,20
2018,CWE-125,23
2018,CWE-129,3
2018,CWE-134,8
2018,CWE-184,3
2018,CWE-185,16
2018,CWE-19,1
2018,CWE-190,3
2018,CWE-20,149
2018,CWE-200,167
2018,CWE-22,99
2018,CWE-252,1
2018,CWE-254,9
2018,CWE-264,1
2018,CWE-284,2
2018,CWE-287,19
2018,CWE-290,2
2018,CWE-295,2
2018,CWE-306,1
2018,CWE-310,1
2018,CWE-312,1
2018,CWE-319,1
2018,CWE-320,1
2018,CWE-326,4
2018,CWE-327,1
2018,CWE-330,3
2018,CWE-331,21
2018,CWE-338,3
2018,CWE-347,6
2018,CWE-352,15
2018,CWE-358,1
2018,CWE-362,9
2018,CWE-384,5
2018,CWE-396,1
2018,CWE-397,1
2018,CWE-399,35
2018,CWE-400,316
2018,CWE-415,1
2018,CWE-416,12
2018,CWE-425,1
2018,CWE-426,32
2018,CWE-434,64
2018,CWE-471,144
2018,CWE-476,17
2018,CWE-502,38
2018,CWE-506,5
2018,CWE-522,23
2018,CWE-59,7
2018,CWE-601,35
2018,CWE-611,3
2018,CWE-613,13
2018,CWE-665,1
2018,CWE-667,1
2018,CWE-668,2
2018,CWE-674,1
2018,CWE-681,1
2018,CWE-682,1
2018,CWE-693,2
2018,CWE-704,1
2018,CWE-732,7
2018,CWE-74,1
2018,CWE-770,7
2018,CWE-772,1
2018,CWE-78,91
2018,CWE-787,1
2018,CWE-79,390
2018,CWE-829,4
2018,CWE-835,7
2018,CWE-863,5
2018,CWE-89,10
2018,CWE-91,7
2018,CWE-918,30
2018,CWE-93,4
2018,CWE-94,12
2018,NVD-CWE-noinfo,611
2019,CWE-20,9
2019,CWE-502,1
2019,CWE-79,1
2019,NVD-CWE-noinfo,1
