,git_hash,commit_date,cve_data,cwe_group,published_date,severity,impact_score
0,6615d17277e55c70d3ba200ffaec1795488795a2,2010-12-12 22:46:17+00:00,SQL_INJECTION,,,,
1,15d556e5ea74d48e38f2ee972c9fa385bfb477c7,2011-02-14 19:15:45+00:00,SQL_INJECTION,,,,
2,5bc45593322fa3625355dc18ed08499e20e7b053,2011-03-27 08:18:31+00:00,SQL_INJECTION,,,,
3,6394c5b660280cf32b6660b6f321d9f045597927,2011-03-27 08:18:31+00:00,SQL_INJECTION,,,,
4,02de0ba8fd0f555949104f4d21509d98037ae48f,2011-04-12 23:03:31+00:00,SQL_INJECTION,,,,
5,5d72f7ebd623b29ef2fa1bc53a208974f0d8f123,2011-04-13 15:26:55+00:00,SQL_INJECTION,,,,
6,9060c34007fc160f6393452b1c92492212b99ebf,2012-04-09 20:01:01+00:00,SQL_INJECTION,,,,
7,735b18ac745db1eef6ec775faa26d45cd638f776,2012-06-13 15:48:44+00:00,CVE-2012-2695,CWE-89,2012-06-22T14:55Z,HIGH,6.4
8,dd05f7cac8b51da2fee664039a7160a2b0d17fbc,2012-06-13 15:51:15+00:00,CVE-2012-2695,CWE-89,2012-06-22T14:55Z,HIGH,6.4
9,6ade80562cd3cbfa804a7ebb06417c5b92c902cf,2012-06-13 16:11:06+00:00,CVE-2012-2695,CWE-89,2012-06-22T14:55Z,HIGH,6.4
10,2dc5c148c6d01fac8c76b347e3917f1bdf3f0aff,2012-07-04 18:16:51+00:00,SQL_INJECTION,,,,
11,3860e31e40d8a2c4eadbd6ae37a5c5cbcf935a76,2012-07-04 18:23:53+00:00,SQL_INJECTION,,,,
12,29236a8396b3c53f235e7c2e155e1be78fec5f1b,2012-07-10 13:55:30+00:00,SQL_INJECTION,,,,
13,0df6d16dfb6fd7cab7bb99eee0f4caa56643ef0c,2012-07-17 23:24:29+00:00,SQL_INJECTION,,,,
14,0048caa83b968fd56a30981aba8641664f6b9aeb,2012-07-18 11:54:54+00:00,SQL_INJECTION,,,,
15,8ab92dd74647b8617f8495bc88d73fdc026ceef7,2012-07-31 16:50:20+00:00,SQL_INJECTION,,,,
16,78b37aab5e6155efb8327c3b3c5e10da57f23253,2012-08-09 00:11:36+00:00,SQL_INJECTION,,,,
17,5f26567d37ab6a494350c707f576fa2163966138,2012-09-19 12:05:10+00:00,SQL_INJECTION,,,,
18,d9585f5c7b6997398086d62d6816efd7f9c00d16,2013-01-10 07:12:40+00:00,CVE-2013-0156,CWE-20,2013-01-13T22:55Z,HIGH,6.4
19,d9585f5c7b6997398086d62d6816efd7f9c00d16,2013-01-10 07:12:40+00:00,CVE-2013-0155,CWE-264,2013-01-13T22:55Z,MEDIUM,4.9
20,87178eb66f2599b09018ef21f5740b8ca74d6754,2013-01-15 01:28:14+00:00,CVE-2013-0155,CWE-264,2013-01-13T22:55Z,MEDIUM,4.9
21,784d9bce6dd627364cf2a8156d64128ceb0fad67,2013-01-15 01:28:56+00:00,CVE-2013-0155,CWE-264,2013-01-13T22:55Z,MEDIUM,4.9
22,579e82ff64215c3da6e60963214f5cd20d5842a2,2013-01-15 01:39:38+00:00,CVE-2013-0155,CWE-264,2013-01-13T22:55Z,MEDIUM,4.9
23,301a6053dd9febb2c3c40914a7d559ef7bb667ca,2013-01-22 16:52:32+00:00,SQL_INJECTION,,,,
24,7602a0443ecc1409d3d3f30120470ef9dc1a9448,2013-02-11 19:47:58+00:00,CVE-2013-0276,CWE-264,2013-02-13T01:55Z,MEDIUM,2.9
25,7602a0443ecc1409d3d3f30120470ef9dc1a9448,2013-02-11 19:47:58+00:00,CVE-2013-0277,NVD-CWE-noinfo,2013-02-13T01:55Z,HIGH,10.0
26,7602a0443ecc1409d3d3f30120470ef9dc1a9448,2013-02-11 19:47:58+00:00,CVE-2013-0269,CWE-20,2013-02-13T01:55Z,HIGH,6.4
27,36fa4321f405d670828056b8e17a683ddc656966,2013-02-11 19:49:14+00:00,CVE-2013-0276,CWE-264,2013-02-13T01:55Z,MEDIUM,2.9
28,36fa4321f405d670828056b8e17a683ddc656966,2013-02-11 19:49:14+00:00,CVE-2013-0277,NVD-CWE-noinfo,2013-02-13T01:55Z,HIGH,10.0
29,36fa4321f405d670828056b8e17a683ddc656966,2013-02-11 19:49:14+00:00,CVE-2013-0269,CWE-20,2013-02-13T01:55Z,HIGH,6.4
30,b9794527cfeb3a8ed1e086b60623bd7729ef30b6,2013-02-11 20:29:26+00:00,CVE-2013-0276,CWE-264,2013-02-13T01:55Z,MEDIUM,2.9
31,b9794527cfeb3a8ed1e086b60623bd7729ef30b6,2013-02-11 20:29:26+00:00,CVE-2013-0277,NVD-CWE-noinfo,2013-02-13T01:55Z,HIGH,10.0
32,b9794527cfeb3a8ed1e086b60623bd7729ef30b6,2013-02-11 20:29:26+00:00,CVE-2013-0269,CWE-20,2013-02-13T01:55Z,HIGH,6.4
33,6649d10db6bd0c274da9e5a1051e89096c0e19e6,2013-02-12 04:48:26+00:00,CVE-2013-0276,CWE-264,2013-02-13T01:55Z,MEDIUM,2.9
34,6649d10db6bd0c274da9e5a1051e89096c0e19e6,2013-02-12 04:48:26+00:00,CVE-2013-0277,NVD-CWE-noinfo,2013-02-13T01:55Z,HIGH,10.0
35,6649d10db6bd0c274da9e5a1051e89096c0e19e6,2013-02-12 04:48:26+00:00,CVE-2013-0269,CWE-20,2013-02-13T01:55Z,HIGH,6.4
36,904f4bb2d4ce79a140e3b1dd40da39bed9c7d788,2013-02-24 03:52:49+00:00,CVE-2013-0269,CWE-20,2013-02-13T01:55Z,HIGH,6.4
37,904f4bb2d4ce79a140e3b1dd40da39bed9c7d788,2013-02-24 03:52:49+00:00,CVE-2013-0269,CWE-20,2013-02-13T01:55Z,HIGH,6.4
38,6eff03b69d89743406c1e9bc684df70b2f4eee96,2013-03-05 22:37:14+00:00,SQL_INJECTION,,,,
39,93783bf88d74f926342a2b87fafccaa87d450887,2013-03-12 14:05:23+00:00,CVE-2013-0262,CWE-22,2013-02-08T20:55Z,MEDIUM,2.9
40,688b5b9bc49f3f15ad2c106a6701666cfc5254c7,2013-04-29 14:45:47+00:00,SQL_INJECTION,,,,
41,84a387cbfa720d8aa4c37762a61f162daf2e4b3d,2013-05-02 03:01:10+00:00,SQL_INJECTION,,,,
42,8ccc429598d62eebe9f65a0a4e6fd406a123c8b4,2013-05-14 18:49:26+00:00,CVE-2013-2023,CWE-79,2013-08-15T17:55Z,MEDIUM,2.9
43,c2417972af1295be8dcc07470b0e3d25b0a77e0b,2013-05-14 20:15:51+00:00,CVE-2013-2023,CWE-79,2013-08-15T17:55Z,MEDIUM,2.9
44,fb64a4cb24c3367e36f7164aa16ef83b95b18c2e,2013-05-18 13:35:08+00:00,SQL_INJECTION,,,,
