,git_hash,commit_date,cve_data,cwe_group,published_date,severity,impact_score
0,b47fa61f71c7ce1c8cae313b101c60b34c0f1155,2005-08-17 11:17:45+00:00,SQL_INJECTION,,,,
1,4c6b69605dc47940286cee81c88f71d0cd120c2c,2005-08-17 11:17:45+00:00,SQL_INJECTION,,,,
2,9008aae8ea4174f07e9a425374ceab0935b88df6,2005-08-17 11:17:45+00:00,SQL_INJECTION,,,,
3,60f6296e4de5b8b73e30cfa2982243a1ea96ab8c,2005-12-05 18:15:44+00:00,SQL_INJECTION,,,,
4,92dd5e434d7398d094e261be01357dcae4aef3bc,2005-12-05 18:15:44+00:00,SQL_INJECTION,,,,
5,637974c7e2a17466f18e91820c8b920354b407d3,2005-12-05 18:15:44+00:00,SQL_INJECTION,,,,
6,5901f1a97434ff3c666fa199892231166ebcb233,2005-12-05 18:15:44+00:00,SQL_INJECTION,,,,
7,4d85a320e3d478359f91fa86f769f01b18b6c5e6,2006-01-15 10:34:05+00:00,CVE-2006-6235,NVD-CWE-Other,2006-12-07T11:28Z,HIGH,10.0
8,b39151fbe7f1ce14a5e7648a196360d4369cd9c5,2006-05-08 21:03:14+00:00,SQL_INJECTION,,,,
9,01f6130e6f1860656f7a6592ec008725d065aa3c,2006-05-08 21:03:14.100505+00:00,SQL_INJECTION,,,,
10,e491da3a113ed15e5966a78b4461613b56c4b582,2006-10-27 02:12:45+00:00,CVE-2006-4245,CWE-362,2019-11-06T03:15Z,MEDIUM,6.4
11,9dad389a1ee21f940a2e4be907d1caf96c287a3c,2006-11-27 03:13:10+00:00,CVE-2006-4249,NVD-CWE-Other,2006-12-07T23:28Z,MEDIUM,2.9
12,95080e8fac7a02a6cae07c366c2ef3eb2a960510,2006-12-10 21:16:26+00:00,CVE-2006-6302,NVD-CWE-Other,2006-12-06T19:28Z,MEDIUM,2.9
13,0a8f24c5f431a2e542975db6835436ac852f3e70,2006-12-10 21:16:26+00:00,CVE-2006-6302,NVD-CWE-Other,2006-12-06T19:28Z,MEDIUM,2.9
14,a744c72365e4a2d3518291a344f9423533e30ad5,2006-12-18 17:12:48+00:00,SQL_INJECTION,,,,
15,367c449a66024c616ede19bdfa77fe97ad8cb995,2006-12-26 20:20:48+00:00,CVE-2006-5925,NVD-CWE-Other,2006-11-15T19:07Z,HIGH,6.4
16,23276fe87f2e426b014dc24f065b60a763f8445a,2007-04-23 19:41:24+00:00,SQL_INJECTION,,,,
17,64de0713011209c6678cc238b0202ff36b8571e8,2007-06-14 13:43:00+00:00,SQL_INJECTION,,,,
18,3449257415693bd55052a2ad20d6df1eb7f128bf,2007-06-14 13:54:51+00:00,SQL_INJECTION,,,,
19,fdb0f9f767f33d0b5bbad0332fffa987c4d9b91b,2007-10-15 17:35:19+00:00,SQL_INJECTION,,,,
20,4be49548c4f1046a8204030f26a603c29f38d9dd,2007-11-06 09:34:48+00:00,CVE-2007-5741,CWE-94,2007-11-07T21:46Z,HIGH,6.4
21,46baac37ebd63357a101d6eababcf7fe54bb9ff2,2007-11-06 09:34:48+00:00,CVE-2007-5741,CWE-94,2007-11-07T21:46Z,HIGH,6.4
