,git_hash,commit_date,cve_data,cwe_group,published_date,severity,impact_score
0,6394c5b660280cf32b6660b6f321d9f045597927,2011-03-27 01:18:31-07:00,SQL_INJECTION,,,,
1,3654655138d6ab6c644649dbb3a578740a5830cd,2013-07-16 00:19:36-07:00,SQL_INJECTION,,,,
2,ac097a2fef35bb08dd03479e11170b90e1ba6679,2013-12-21 00:51:45-08:00,SQL_INJECTION,,,,
3,59b1f9e003b9858796bbbe7f5f476b3cba527c26,2013-12-21 11:41:31-08:00,SQL_INJECTION,,,,
4,007a1c5b62bf498fc24015c7108a2c355a797352,2014-01-13 18:13:54-08:00,CVE-2014-0014,CWE-79,2018-02-15T21:29Z,LOW,2.7
5,007a1c5b62bf498fc24015c7108a2c355a797352,2014-01-13 18:13:54-08:00,CVE-2014-0014,CWE-79,2018-02-15T21:29Z,LOW,2.7
6,3c556e8a3f893092cb64528ba589e4f71cc29687,2014-01-13 18:20:00-08:00,CVE-2014-0013,CWE-79,2018-02-15T21:29Z,LOW,2.7
7,3c556e8a3f893092cb64528ba589e4f71cc29687,2014-01-13 18:20:00-08:00,CVE-2014-0013,CWE-79,2018-02-15T21:29Z,LOW,2.7
8,c80748313f93757b28f2bd3bd3d594e1e8e03d80,2014-01-13 18:40:00-08:00,CVE-2014-0014,CWE-79,2018-02-15T21:29Z,LOW,2.7
9,c80748313f93757b28f2bd3bd3d594e1e8e03d80,2014-01-13 18:40:00-08:00,CVE-2014-0014,CWE-79,2018-02-15T21:29Z,LOW,2.7
10,84b4da47170adec265b555637c436c55bc3934f9,2014-01-13 18:40:13-08:00,CVE-2014-0013,CWE-79,2018-02-15T21:29Z,LOW,2.7
11,84b4da47170adec265b555637c436c55bc3934f9,2014-01-13 18:40:13-08:00,CVE-2014-0013,CWE-79,2018-02-15T21:29Z,LOW,2.7
12,12fa46ba1c6efb9ddac7bfdef7f4f6909781c801,2014-01-14 07:58:03-08:00,CVE-2014-0014,CWE-79,2018-02-15T21:29Z,LOW,2.7
13,12fa46ba1c6efb9ddac7bfdef7f4f6909781c801,2014-01-14 07:58:03-08:00,CVE-2014-0014,CWE-79,2018-02-15T21:29Z,LOW,2.7
14,9205bcce8187f5ccc6b92b1fa20d38d8f3bc0028,2014-01-14 07:58:03-08:00,CVE-2014-0013,CWE-79,2018-02-15T21:29Z,LOW,2.7
15,9205bcce8187f5ccc6b92b1fa20d38d8f3bc0028,2014-01-14 07:58:03-08:00,CVE-2014-0013,CWE-79,2018-02-15T21:29Z,LOW,2.7
16,d9977d62b26534555c0708acde0e7ae029e6d8ea,2014-01-14 07:58:59-08:00,CVE-2014-0014,CWE-79,2018-02-15T21:29Z,LOW,2.7
17,d9977d62b26534555c0708acde0e7ae029e6d8ea,2014-01-14 07:58:59-08:00,CVE-2014-0014,CWE-79,2018-02-15T21:29Z,LOW,2.7
18,198d571e6e5202ebd8531d92e5316cece3392a61,2014-01-14 07:58:59-08:00,CVE-2014-0013,CWE-79,2018-02-15T21:29Z,LOW,2.7
19,198d571e6e5202ebd8531d92e5316cece3392a61,2014-01-14 07:58:59-08:00,CVE-2014-0013,CWE-79,2018-02-15T21:29Z,LOW,2.7
20,83baab02bdff34542c468323816c344721d40c33,2014-02-07 10:56:23-08:00,CVE-2014-0046,CWE-79,2014-02-27T15:55Z,LOW,
21,94b28b8773acf894c4d7d7fccf4411a706292436,2014-02-07 11:03:14-08:00,CVE-2014-0046,CWE-79,2014-02-27T15:55Z,LOW,
22,45ee8df2a0efc0afe233d6b9b17045782a2e6b2d,2014-02-07 11:14:27-08:00,CVE-2014-0046,CWE-79,2014-02-27T15:55Z,LOW,
23,12749841c41fd46d773a5d91db26210e2bf97867,2014-02-07 11:16:21-08:00,CVE-2014-0046,CWE-79,2014-02-27T15:55Z,LOW,
24,5f2ef9ca46991057f3ea541361d08b68ca72f358,2014-03-26 14:49:30-07:00,SQL_INJECTION,,,,
25,7c69b64d1d65b4078fa97d74704e8310d905c08c,2014-03-27 10:43:39-07:00,SQL_INJECTION,,,,
26,e5ebc304159af329beff57b23c72bf68beb25dd4,2015-03-20 08:08:04-07:00,SQL_INJECTION,,,,
27,8bdbc0599567e9c600d9744463a0dafd4929e6fe,2015-04-14 10:32:01-07:00,CVE-2015-1866,CWE-79,2017-09-20T18:29Z,MEDIUM,2.7
28,66418d27be75c1567d8621123e7005e5ab57d231,2015-04-14 10:38:01-07:00,CVE-2015-1866,CWE-79,2017-09-20T18:29Z,MEDIUM,2.7
29,3368489926d95cc0c9960e31c7ca904b9b092300,2015-04-14 10:42:19-07:00,CVE-2015-1866,CWE-79,2017-09-20T18:29Z,MEDIUM,2.7
30,95eab36762fac48949ec502bd38ed61e1570711b,2015-04-14 10:51:57-07:00,CVE-2015-1866,CWE-79,2017-09-20T18:29Z,MEDIUM,2.7
31,beda9d0efe278a4d69824d5b5717a28126259fa5,2015-04-14 10:53:55-07:00,CVE-2015-1866,CWE-79,2017-09-20T18:29Z,MEDIUM,2.7
32,5a4667b4afc4bea61b617a839fec61ccf2071a40,2015-04-14 10:54:07-07:00,CVE-2015-1866,CWE-79,2017-09-20T18:29Z,MEDIUM,2.7
33,f0fecb173f9117c7b5cffaf04f7d797fb4421303,2015-08-18 19:15:37-07:00,SQL_INJECTION,,,,
34,30ea4630514b766b2a1070e6a20df2aeb583cbea,2015-08-18 20:36:40-07:00,SQL_INJECTION,,,,
35,3d805aeaf8ca1af039d6467fd848d364ec085f66,2015-11-24 10:10:10-08:00,CVE-2015-8213,CWE-200,2015-12-07T20:59Z,MEDIUM,
36,2e2e099a73e728a2bfddc918d9acf473b3a86eef,2015-11-24 11:05:39-08:00,CVE-2015-8213,CWE-200,2015-12-07T20:59Z,MEDIUM,
37,ecd502cfdb57706dd0e84d9928934bcae6b1ef25,2016-02-01 09:42:37-08:00,CVE-2016-2048,CWE-284,2016-02-08T19:59Z,MEDIUM,4.2
38,34fae0a4f7b0702cf9e4c72a8a3b82040a426595,2016-02-01 09:43:02-08:00,CVE-2016-2048,CWE-284,2016-02-08T19:59Z,MEDIUM,4.2
39,67b46ba7016da2d259c1ecc7d666d11f5e1cfaab,2016-03-01 08:25:28-08:00,CVE-2016-2513,CWE-200,2016-04-08T15:59Z,LOW,1.4
40,c5544d289233f501917e25970c03ed444abbd4f0,2016-03-01 08:25:28-08:00,CVE-2016-2512,CWE-79,2016-04-08T15:59Z,MEDIUM,4.0
41,af7d09b0c5c6ab68e629fd9baf736f9dd203b18e,2016-03-01 08:38:49-08:00,CVE-2016-2513,CWE-200,2016-04-08T15:59Z,LOW,1.4
42,fc6d147a63f89795dbcdecb0559256470fff4380,2016-03-01 08:38:49-08:00,CVE-2016-2512,CWE-79,2016-04-08T15:59Z,MEDIUM,4.0
43,24fc9352183c449a8b11d1c7b442e70aa61a8800,2016-03-01 09:32:42-08:00,CVE-2016-2512,CWE-79,2016-04-08T15:59Z,MEDIUM,4.0
44,a53ee2bbf4e6676ba67160a04d02be63c2bff767,2016-03-01 09:36:17-08:00,CVE-2016-2512,CWE-79,2016-04-08T15:59Z,MEDIUM,4.0
45,762cda75a91278133fd9397e19080e13a7d6cc07,2016-07-18 04:07:28-07:00,CVE-2016-4448,CWE-134,2016-06-09T16:59Z,HIGH,5.9
46,bc53af13cbf09b0cbac945426c2d51d0ca52fff3,2016-07-18 12:19:35-07:00,CVE-2016-6186,CWE-79,2016-08-05T15:59Z,MEDIUM,2.7
47,658f545b0c979e0355ceb6631edcc06446c37530,2016-07-18 12:20:30-07:00,CVE-2016-6186,CWE-79,2016-08-05T15:59Z,MEDIUM,2.7
